shopping_method,own_smartphone,have_tried_a_voice_assistant,own_a_smart_speaker,own_feature_phone,no_mobile_device,shoppers_use_voice,online_apparel,online_everyday_household_items,online_entertainment_music_movies,online_consumer_electronics,online_travel,online_games,online_groceries,online_appliances,online_furniture,online_prepared_meal_or_drink,online_none_of_the_above,online_local_services,voice_apparel,voice_everyday_household_items,voice_entertainment_music_movies,voice_consumer_electronics,voice_travel,voice_games,voice_groceries,voice_appliances,voice_furniture,voice_prepared_meal_or_drink,voice_none_of_the_above,voice_local_services
mobile_device,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
mobile_device,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
mobile_device,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
physical,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no
smart_speaker,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no
physical,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no
website,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
website,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
physical,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
physical,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
mobile_device,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no
physical,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes
physical,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
physical,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
website,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no
website,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no
website,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
physical,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
physical,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,yes
physical,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
physical,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
physical,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no
website,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no
physical,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
physical,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no
physical,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
physical,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
physical,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no
website,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no
physical,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
physical,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
physical,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no
physical,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no
physical,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no
physical,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
none_of_the_above,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
physical,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no
physical,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
physical,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no
physical,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no
physical,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
physical,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
physical,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
physical,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no
physical,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
website,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
physical,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
website,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
mobile_device,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
physical,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no
website,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no
website,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
physical,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no
physical,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
physical,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
website,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no
website,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no
physical,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no
website,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no
physical,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no
physical,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no
physical,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
website,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
website,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no
physical,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
website,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no
website,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
physical,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
physical,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
physical,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes
physical,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,no,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
physical,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no
physical,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
physical,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no
physical,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
website,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
mobile_device,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
physical,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
physical,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
physical,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
mobile_device,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no
physical,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no
physical,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
mobile_device,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no
physical,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no
website,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
website,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
physical,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
mobile_device,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no
physical,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no
mobile_device,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
mobile_device,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
physical,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
physical,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
physical,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no
physical,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
website,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no
physical,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no
website,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no
website,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
physical,no,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
physical,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no
physical,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
physical,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
physical,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
physical,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no
physical,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no
website,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
physical,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
website,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no
physical,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
physical,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no
website,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
physical,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
physical,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
physical,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
website,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
mobile_device,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no
physical,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no
physical,yes,no,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
